"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Damarea Crockett","HOU","28.9","117.3","0.8","5.0","37.7","0.1","0.1","20.4"
"Ty Johnson","DET","16.1","66.8","0.5","10.2","77.1","0.4","0.1","19.4"
"Rod Smith","NYG","18.7","97.7","0.8","5.6","38.4","0.2","0.1","19.2"
"Spencer Ware","IND","10.0","77.6","0.6","6.7","51.6","0.4","0.2","18.5"
"Josh Ferguson","HOU","26.2","105.9","0.7","3.0","22.7","0.2","0.1","17.7"
"Travis Homer","SEA","22.1","101.0","0.6","3.2","29.0","0.1","0.0","17.2"
"Dwayne Washington","NO","25.4","105.9","0.6","2.9","20.6","0.1","0.1","16.5"
"C.J. Prosise","SEA","11.2","39.1","0.0","11.7","84.5","0.5","0.0","15.7"
"Mark Walton","MIA","23.1","93.2","0.4","4.4","30.9","0.1","0.2","15.3"
"Ameer Abdullah","MIN","16.9","53.8","0.3","7.4","60.7","0.4","0.1","15.0"
"Jordan Scarlett","CAR","27.7","76.1","0.5","4.8","33.9","0.1","0.1","14.5"
"James Develin","NE","6.1","22.4","1.1","6.8","47.7","0.2","0.0","14.5"
"Trayveon Williams","CIN","13.7","81.7","0.4","4.3","32.9","0.1","0.1","14.4"
"Anthony Sherman","KC","6.7","19.5","0.2","7.0","70.5","0.7","0.0","14.1"
"Darius Jackson","DAL","15.6","57.2","0.4","6.3","41.7","0.0","0.0","12.7"
"Mike Boone","MIN","19.1","75.0","0.6","2.7","15.7","0.0","0.1","12.5"
"Trenton Cannon","NYJ","15.2","57.4","0.3","5.7","42.2","0.1","0.1","12.0"
"Detrez Newsome","LAC","6.9","30.3","0.3","4.5","49.3","0.4","0.0","11.8"
"Alex Armah","CAR","18.5","53.5","0.4","3.3","28.9","0.2","0.0","11.6"
"Raheem Mostert","SF","13.4","82.3","0.4","1.2","4.2","0.0","0.0","11.3"
"Trey Edmunds","PIT","10.9","45.1","0.8","2.0","14.4","0.0","0.0","10.6"
"Thomas Rawls","JAC","12.3","46.9","0.2","3.9","41.3","0.1","0.0","10.6"
"Zach Line","NO","7.1","32.3","0.4","4.3","33.3","0.3","0.1","10.4"
"Justin Davis","LAR","11.8","68.2","0.3","0.4","2.7","0.0","0.0","9.1"
"Patrick Ricard","BAL","7.6","32.7","0.2","4.2","39.1","0.1","0.0","8.9"
"Elijhaa Penny","NYG","6.3","24.9","0.2","5.4","44.6","0.2","0.1","8.8"
"John Kelly","LAR","9.9","34.5","0.2","2.7","28.9","0.2","0.0","8.7"
"Boston Scott","PHI","7.4","27.5","0.2","4.0","39.6","0.2","0.0","8.7"
"Tremon Smith","KC","7.9","29.9","0.2","4.0","33.7","0.2","0.0","8.6"
"Paul Perkins","NYG","11.8","46.3","0.3","2.6","17.7","0.1","0.0","8.5"
"T.J. Logan","ARI","9.6","27.8","0.2","4.9","33.7","0.2","0.1","8.1"
"D.J. Foster","ARI","9.1","35.8","0.1","5.1","26.4","0.2","0.0","7.9"
"CJ Ham","MIN","10.8","27.8","0.2","4.4","31.1","0.1","0.1","7.9"
"David Fluellen","TEN","4.5","35.1","0.2","2.8","23.4","0.1","0.1","7.8"
"Josh Adams","PHI","11.8","42.5","0.3","2.0","12.7","0.1","0.0","7.7"
